2026-07-11 17:48:11 | INFO     | pipeline        | ======================================================================
2026-07-11 17:48:12 | INFO     | pipeline        | ======================================================================
2026-07-11 17:48:12 | INFO     | pipeline        |   Duracao total:         0.21s
2026-07-11 17:48:12 | INFO     | pipeline        |   Status:                SUCESSO
2026-07-11 17:48:12 | INFO     | pipeline        |   Arquivos encontrados:  8
2026-07-11 17:48:12 | INFO     | pipeline        |   Arquivos processados:  8
2026-07-11 17:48:12 | INFO     | pipeline        |   Arquivos rejeitados:   0
2026-07-11 17:48:12 | INFO     | pipeline        |   Linhas de entrada:     183
2026-07-11 17:48:12 | INFO     | pipeline        |   Linhas apos transform: 170
2026-07-11 17:48:12 | INFO     | pipeline        |   Linhas inseridas:      0
2026-07-11 17:48:12 | INFO     | pipeline        |   Linhas atualizadas:    170
2026-07-11 17:48:12 | INFO     | pipeline        | ======================================================================
2026-07-11 17:48:12 | INFO     | pipeline        | Estado atual do banco:
2026-07-11 17:48:12 | INFO     | pipeline        |   total_linhas_fato_vendas: 170
2026-07-11 17:48:12 | INFO     | pipeline        |   filiais_distintas: 5
2026-07-11 17:48:12 | INFO     | pipeline        |   meses_com_dados: 1
2026-07-11 17:48:12 | INFO     | pipeline        |   faturamento_acumulado: 20,325.28
2026-07-11 17:48:12 | INFO     | pipeline        |   execucoes_pipeline: 2
