id,produto_id,filial_id,quantidade
810,54,15,33
811,55,1,5
812,55,2,130
813,55,3,147
814,55,4,61
815,55,5,48
816,55,6,29
817,55,7,147
818,55,8,57
819,55,9,72
820,55,10,147
821,55,11,35
822,55,12,85
823,55,13,4
824,55,14,38
825,55,15,58
826,56,1,54
827,56,2,101
828,56,3,25
829,56,4,22
830,56,5,4
831,56,6,121
832,56,7,22
833,56,8,89
834,56,9,92
835,56,10,118
836,56,11,33
837,56,12,55
838,56,13,138
839,56,14,102
840,56,15,95
841,57,1,96
842,57,2,103
843,57,3,48
844,57,4,146
845,57,5,96
846,57,6,46
847,57,7,78
848,57,8,0
849,57,9,113
850,57,10,122
851,57,11,55
852,57,12,95
853,57,13,55
854,57,14,146
855,57,15,93
856,58,1,38
857,58,2,144
858,58,3,76
859,58,4,105
860,58,5,4
861,58,6,135
862,58,7,17
863,58,8,125
864,58,9,4
865,58,10,118
866,58,11,117
867,58,12,8
868,58,13,88
869,58,14,8
870,58,15,86
871,59,1,45
872,59,2,1
873,59,3,101
874,59,4,108
875,59,5,65
876,59,6,117
877,59,7,26
878,59,8,5
879,59,9,147
880,59,10,146
881,59,11,5
882,59,12,91
883,59,13,144
884,59,14,140
885,59,15,91
886,60,1,19
887,60,2,43
888,60,3,93
889,60,4,21
890,60,5,82
891,60,6,73
892,60,7,137
893,60,8,112
894,60,9,3
895,60,10,1
896,60,11,127
897,60,12,53
898,60,13,67
899,60,14,135
900,60,15,30
901,61,1,147
902,61,2,98
903,61,3,137
904,61,4,95
905,61,5,132
906,61,6,102
907,61,7,82
908,61,8,64
909,61,9,86
910,61,10,72
911,61,11,91
912,61,12,68
913,61,13,140
914,61,14,104
915,61,15,85
916,62,1,112
917,62,2,116
918,62,3,52
919,62,4,88
920,62,5,35
921,62,6,128
922,62,7,137
923,62,8,84
924,62,9,84
925,62,10,3
926,62,11,150
927,62,12,74
928,62,13,6
929,62,14,135
930,62,15,2
931,63,1,8
932,63,2,55
933,63,3,136
934,63,4,66
935,63,5,88
936,63,6,30
937,63,7,37
938,63,8,74
939,63,9,24
940,63,10,59
941,63,11,60
942,63,12,24
943,63,13,116
944,63,14,62
945,63,15,89
946,64,1,17
947,64,2,42
948,64,3,100
949,64,4,149
950,64,5,49
951,64,6,134
952,64,7,43
953,64,8,132
954,64,9,62
955,64,10,5
956,64,11,64
957,64,12,118
958,64,13,146
959,64,14,117
960,64,15,62
961,65,1,137
962,65,2,78
963,65,3,6
964,65,4,83
965,65,5,92
966,65,6,17
967,65,7,107
968,65,8,30
969,65,9,134
970,65,10,118
971,65,11,94
972,65,12,90
973,65,13,71
974,65,14,49
975,65,15,131
976,66,1,110
977,66,2,135
978,66,3,70
979,66,4,35
980,66,5,150
981,66,6,34
982,66,7,43
983,66,8,8
984,66,9,66
985,66,10,53
986,66,11,148
987,66,12,67
988,66,13,140
989,66,14,8
990,66,15,29
991,67,1,146
992,67,2,29
993,67,3,93
994,67,4,116
995,67,5,15
996,67,6,33
997,67,7,5
998,67,8,30
999,67,9,32
1000,67,10,135
1001,67,11,6
1002,67,12,49
1003,67,13,122
1004,67,14,112
1005,67,15,111
1006,68,1,49
1007,68,2,104
1008,68,3,8
1009,68,4,47
1010,68,5,72
1011,68,6,20
1012,68,7,133
1013,68,8,123
1014,68,9,73
1015,68,10,103
1016,68,11,63
1017,68,12,43
1018,68,13,6
1019,68,14,19
1020,68,15,32
1021,69,1,0
1022,69,2,27
1023,69,3,26
1024,69,4,74
1025,69,5,29
1026,69,6,4
1027,69,7,96
1028,69,8,97
1029,69,9,51
1030,69,10,148
1031,69,11,91
1032,69,12,59
1033,69,13,124
1034,69,14,27
1035,69,15,112
1036,70,1,96
1037,70,2,119
1038,70,3,6
1039,70,4,136
1040,70,5,72
1041,70,6,51
1042,70,7,29
1043,70,8,121
1044,70,9,49
1045,70,10,80
1046,70,11,35
1047,70,12,109
1048,70,13,3
1049,70,14,6
1050,70,15,25
1051,71,1,63
1052,71,2,70
1053,71,3,100
1054,71,4,18
1055,71,5,63
1056,71,6,45
1057,71,7,137
1058,71,8,67
1059,71,9,76
1060,71,10,87
1061,71,11,106
1062,71,12,107
1063,71,13,142
1064,71,14,135
1065,71,15,96
