id,venda_id,produto_id,quantidade,preco_unitario,subtotal
388,179,26,1,10.2,10.2
389,179,24,1,26.9,26.9
390,180,9,2,10.2,20.4
391,180,13,2,39.8,79.6
392,181,47,1,62.9,62.9
393,181,24,1,26.9,26.9
394,181,57,2,32.5,65.0
395,182,47,1,62.9,62.9
396,182,37,1,18.9,18.9
397,183,55,1,8.5,8.5
398,184,16,1,47.5,47.5
399,184,19,1,19.5,19.5
400,184,51,1,71.9,71.9
401,185,64,2,15.2,30.4
402,185,36,2,7.9,15.8
403,185,35,2,42.5,85.0
404,186,64,1,15.2,15.2
405,187,39,1,71.9,71.9
406,188,70,1,27.9,27.9
407,189,23,1,4.9,4.9
408,190,71,1,53.9,53.9
409,190,70,2,27.9,55.8
410,190,61,1,209.9,209.9
411,191,47,1,62.9,62.9
412,192,31,1,30.9,30.9
413,193,66,1,17.9,17.9
414,193,54,1,16.2,16.2
415,193,35,3,42.5,127.5
416,193,3,1,13.2,13.2
417,194,39,1,71.9,71.9
418,195,29,2,7.2,14.4
419,195,12,1,32.9,32.9
420,196,56,1,27.9,27.9
421,196,70,1,27.9,27.9
422,196,41,1,148.9,148.9
423,197,60,1,149.9,149.9
424,197,35,1,42.5,42.5
425,197,69,1,419.9,419.9
426,197,56,1,27.9,27.9
427,197,8,1,27.9,27.9
428,198,21,1,20.9,20.9
429,199,5,1,39.9,39.9
430,199,26,1,10.2,10.2
431,200,41,2,148.9,297.8
432,200,39,1,71.9,71.9
433,200,9,2,10.2,20.4
434,200,53,1,19.5,19.5
435,201,68,2,41.9,83.8
436,201,33,1,19.9,19.9
437,201,64,1,15.2,15.2
438,202,36,1,7.9,7.9
439,203,19,1,19.5,19.5
440,204,31,1,30.9,30.9
441,205,51,1,71.9,71.9
442,205,33,2,19.9,39.8
443,206,36,1,7.9,7.9
444,206,11,1,24.5,24.5
445,206,63,2,9.5,19.0
446,207,71,1,53.9,53.9
447,207,42,2,189.9,379.8
448,207,59,1,172.5,172.5
449,208,17,2,29.9,59.8
450,209,26,1,10.2,10.2
451,209,11,1,24.5,24.5
452,209,54,1,16.2,16.2
453,210,34,1,15.9,15.9
454,210,22,1,22.5,22.5
455,211,64,1,15.2,15.2
456,211,16,1,47.5,47.5
457,212,25,1,27.5,27.5
458,213,2,1,10.5,10.5
459,213,61,1,209.9,209.9
460,214,31,1,30.9,30.9
461,215,39,1,71.9,71.9
462,215,51,1,71.9,71.9
463,216,56,1,27.9,27.9
464,216,19,1,19.5,19.5
465,216,34,1,15.9,15.9
466,217,41,1,148.9,148.9
467,218,7,1,17.5,17.5
468,219,59,1,172.5,172.5
469,219,64,2,15.2,30.4
470,220,1,2,8.9,17.8
471,220,68,1,41.9,41.9
472,221,14,1,62.9,62.9
473,221,42,1,189.9,189.9
474,222,42,1,189.9,189.9
475,222,17,1,29.9,29.9
476,222,28,1,21.5,21.5
477,222,7,3,17.5,52.5
478,222,37,1,18.9,18.9
479,223,20,1,17.2,17.2
480,224,63,2,9.5,19.0
481,224,58,1,194.9,194.9
482,225,60,1,149.9,149.9
483,225,29,2,7.2,14.4
484,226,39,1,71.9,71.9
485,226,32,1,34.5,34.5
486,226,67,1,14.2,14.2
487,227,65,1,12.9,12.9
488,227,3,1,13.2,13.2
489,228,34,3,15.9,47.7
490,228,44,2,118.9,237.8
491,229,62,1,17.2,17.2
492,230,51,1,71.9,71.9
493,230,39,1,71.9,71.9
494,230,12,1,32.9,32.9
495,231,60,1,149.9,149.9
496,232,38,1,98.9,98.9
497,233,71,1,53.9,53.9
498,233,38,1,98.9,98.9
499,234,41,1,148.9,148.9
500,234,71,2,53.9,107.8
501,235,61,1,209.9,209.9
502,235,45,1,34.9,34.9
503,235,57,2,32.5,65.0
504,236,47,1,62.9,62.9
505,236,61,1,209.9,209.9
506,236,21,2,20.9,41.8
507,237,3,1,13.2,13.2
508,238,29,1,7.2,7.2
509,239,14,2,62.9,125.8
510,239,7,1,17.5,17.5
511,240,22,2,22.5,45.0
512,240,16,2,47.5,95.0
513,241,26,1,10.2,10.2
514,242,54,1,16.2,16.2
515,242,47,2,62.9,125.8
516,242,32,1,34.5,34.5
517,243,19,2,19.5,39.0
518,244,20,2,17.2,34.4
519,245,41,2,148.9,297.8
520,245,45,2,34.9,69.8
521,245,2,1,10.5,10.5
522,246,52,1,76.9,76.9
523,246,26,1,10.2,10.2
524,246,39,2,71.9,143.8
525,246,11,2,24.5,49.0
526,247,70,1,27.9,27.9
527,248,16,2,47.5,95.0
528,248,7,2,17.5,35.0
529,249,69,1,419.9,419.9
530,249,30,1,17.2,17.2
531,250,47,1,62.9,62.9
532,250,59,1,172.5,172.5
533,250,13,1,39.8,39.8
534,251,64,2,15.2,30.4
535,251,55,1,8.5,8.5
536,251,57,1,32.5,32.5
537,251,63,1,9.5,9.5
538,252,48,2,35.9,71.8
539,253,38,1,98.9,98.9
540,253,63,1,9.5,9.5
541,254,6,1,19.8,19.8
542,255,59,1,172.5,172.5
543,255,58,1,194.9,194.9
544,256,57,2,32.5,65.0
545,256,36,2,7.9,15.8
546,256,12,1,32.9,32.9
547,257,67,1,14.2,14.2
548,257,25,2,27.5,55.0
549,257,61,1,209.9,209.9
550,257,65,1,12.9,12.9
551,257,3,2,13.2,26.4
552,258,44,1,118.9,118.9
553,258,56,1,27.9,27.9
554,258,24,1,26.9,26.9
555,258,54,1,16.2,16.2
556,259,42,1,189.9,189.9
557,259,24,1,26.9,26.9
558,260,31,1,30.9,30.9
559,260,64,1,15.2,15.2
560,261,71,3,53.9,161.7
561,262,19,1,19.5,19.5
562,263,22,1,22.5,22.5
563,263,1,2,8.9,17.8
564,264,69,1,419.9,419.9
565,265,41,1,148.9,148.9
566,265,44,3,118.9,356.7
567,265,34,1,15.9,15.9
568,265,58,1,194.9,194.9
569,265,35,1,42.5,42.5
570,266,51,1,71.9,71.9
571,266,69,2,419.9,839.8
572,267,50,2,43.9,87.8
573,267,23,2,4.9,9.8
574,268,25,2,27.5,55.0
575,268,12,1,32.9,32.9
576,268,39,3,71.9,215.7
577,269,65,1,12.9,12.9
578,269,64,2,15.2,30.4
579,269,22,1,22.5,22.5
580,269,71,1,53.9,53.9
581,270,3,3,13.2,39.6
582,271,42,1,189.9,189.9
583,272,69,1,419.9,419.9
584,272,58,1,194.9,194.9
585,272,41,2,148.9,297.8
586,272,1,2,8.9,17.8
587,273,13,1,39.8,39.8
588,273,4,2,16.9,33.8
589,274,31,2,30.9,61.8
590,274,10,1,49.9,49.9
591,275,17,1,29.9,29.9
592,276,53,2,19.5,39.0
593,276,30,2,17.2,34.4
594,277,43,1,169.9,169.9
595,277,25,1,27.5,27.5
596,278,57,1,32.5,32.5
597,278,24,1,26.9,26.9
598,278,32,1,34.5,34.5
599,279,38,3,98.9,296.7
600,279,48,1,35.9,35.9
601,280,26,2,10.2,20.4
602,281,39,1,71.9,71.9
603,282,31,2,30.9,61.8
604,282,62,3,17.2,51.6
605,283,57,1,32.5,32.5
606,284,32,1,34.5,34.5
607,284,23,2,4.9,9.8
608,284,26,2,10.2,20.4
609,285,68,3,41.9,125.7
610,286,48,1,35.9,35.9
611,286,41,3,148.9,446.7
612,287,17,1,29.9,29.9
613,287,66,1,17.9,17.9
614,287,63,1,9.5,9.5
615,288,48,1,35.9,35.9
616,289,58,1,194.9,194.9
617,289,31,2,30.9,61.8
618,289,51,1,71.9,71.9
619,289,28,2,21.5,43.0
620,290,55,1,8.5,8.5
621,290,58,1,194.9,194.9
622,291,66,2,17.9,35.8
623,291,70,2,27.9,55.8
624,291,11,1,24.5,24.5
625,292,18,1,33.8,33.8
626,292,70,1,27.9,27.9
627,292,34,2,15.9,31.8
628,293,30,1,17.2,17.2
629,293,27,1,12.5,12.5
630,293,61,1,209.9,209.9
631,293,67,2,14.2,28.4
632,294,17,2,29.9,59.8
633,294,40,1,84.5,84.5
634,295,3,1,13.2,13.2
635,296,51,1,71.9,71.9
636,297,5,1,39.9,39.9
637,297,63,1,9.5,9.5
638,298,53,1,19.5,19.5
639,299,61,1,209.9,209.9
640,300,32,1,34.5,34.5
641,300,68,1,41.9,41.9
642,301,51,1,71.9,71.9
643,301,23,2,4.9,9.8
644,301,54,2,16.2,32.4
645,302,69,1,419.9,419.9
646,303,42,1,189.9,189.9
647,304,25,1,27.5,27.5
648,304,51,1,71.9,71.9
649,305,61,2,209.9,419.8
650,305,36,1,7.9,7.9
651,306,28,2,21.5,43.0
652,306,5,1,39.9,39.9
653,307,1,1,8.9,8.9
654,308,25,1,27.5,27.5
655,309,25,1,27.5,27.5
656,310,28,1,21.5,21.5
657,311,22,1,22.5,22.5
658,311,33,3,19.9,59.7
659,311,13,1,39.8,39.8
660,312,3,1,13.2,13.2
661,313,40,1,84.5,84.5
662,313,31,1,30.9,30.9
663,313,55,1,8.5,8.5
664,313,32,1,34.5,34.5
665,314,6,1,19.8,19.8
666,315,32,1,34.5,34.5
667,315,29,1,7.2,7.2
668,315,49,1,28.5,28.5
669,315,67,2,14.2,28.4
670,316,11,1,24.5,24.5
671,317,62,1,17.2,17.2
672,318,3,2,13.2,26.4
673,318,49,2,28.5,57.0
674,318,55,2,8.5,17.0
675,319,18,2,33.8,67.6
676,320,48,1,35.9,35.9
677,320,50,1,43.9,43.9
678,320,63,1,9.5,9.5
679,320,40,1,84.5,84.5
680,321,48,2,35.9,71.8
681,321,8,2,27.9,55.8
682,321,50,1,43.9,43.9
683,322,21,1,20.9,20.9
684,323,55,1,8.5,8.5
685,323,33,1,19.9,19.9
686,324,45,1,34.9,34.9
687,324,19,1,19.5,19.5
688,325,37,1,18.9,18.9
689,325,56,1,27.9,27.9
690,326,25,1,27.5,27.5
691,327,4,1,16.9,16.9
692,328,67,2,14.2,28.4
693,329,44,2,118.9,237.8
694,329,41,1,148.9,148.9
695,329,31,1,30.9,30.9
696,330,32,1,34.5,34.5
697,330,48,1,35.9,35.9
698,331,42,1,189.9,189.9
699,331,57,1,32.5,32.5
700,331,30,1,17.2,17.2
701,331,63,1,9.5,9.5
702,332,67,1,14.2,14.2
703,332,65,2,12.9,25.8
704,332,5,1,39.9,39.9
705,333,12,1,32.9,32.9
706,334,16,2,47.5,95.0
707,334,18,1,33.8,33.8
708,334,69,1,419.9,419.9
709,334,63,1,9.5,9.5
710,334,12,2,32.9,65.8
711,335,15,1,35.9,35.9
712,336,1,1,8.9,8.9
713,336,40,1,84.5,84.5
714,337,51,1,71.9,71.9
715,338,5,1,39.9,39.9
716,338,41,1,148.9,148.9
717,338,40,1,84.5,84.5
718,339,27,2,12.5,25.0
719,339,29,2,7.2,14.4
720,339,7,2,17.5,35.0
721,340,45,1,34.9,34.9
722,340,51,1,71.9,71.9
723,340,10,1,49.9,49.9
724,341,59,1,172.5,172.5
725,341,21,1,20.9,20.9
726,341,18,2,33.8,67.6
727,342,49,1,28.5,28.5
728,342,55,3,8.5,25.5
729,342,22,1,22.5,22.5
730,342,8,1,27.9,27.9
731,343,39,1,71.9,71.9
732,343,23,1,4.9,4.9
733,344,11,1,24.5,24.5
734,345,62,3,17.2,51.6
735,346,51,1,71.9,71.9
736,346,69,1,419.9,419.9
737,346,68,1,41.9,41.9
738,347,58,2,194.9,389.8
739,348,70,1,27.9,27.9
740,348,22,2,22.5,45.0
741,349,46,1,41.5,41.5
742,349,69,1,419.9,419.9
743,350,55,1,8.5,8.5
744,351,35,3,42.5,127.5
745,352,49,1,28.5,28.5
746,352,4,1,16.9,16.9
747,352,32,1,34.5,34.5
748,353,49,3,28.5,85.5
749,354,45,2,34.9,69.8
750,355,69,1,419.9,419.9
751,355,71,1,53.9,53.9
752,355,52,1,76.9,76.9
753,356,54,1,16.2,16.2
754,356,59,1,172.5,172.5
755,356,24,1,26.9,26.9
756,357,11,2,24.5,49.0
757,357,10,1,49.9,49.9
758,357,31,1,30.9,30.9
759,358,64,1,15.2,15.2
760,359,32,1,34.5,34.5
761,359,68,3,41.9,125.7
762,359,6,1,19.8,19.8
763,360,15,2,35.9,71.8
764,360,44,1,118.9,118.9
765,361,40,2,84.5,169.0
766,362,43,1,169.9,169.9
767,362,39,1,71.9,71.9
768,363,63,1,9.5,9.5
769,364,57,1,32.5,32.5
770,364,21,2,20.9,41.8
771,364,18,2,33.8,67.6
772,364,46,1,41.5,41.5
773,364,56,1,27.9,27.9
774,365,64,1,15.2,15.2
775,365,17,2,29.9,59.8
776,366,65,1,12.9,12.9
777,367,55,1,8.5,8.5
778,368,14,1,62.9,62.9
779,368,65,1,12.9,12.9
780,369,7,1,17.5,17.5
781,370,47,1,62.9,62.9
782,371,13,1,39.8,39.8
783,371,56,2,27.9,55.8
784,372,68,1,41.9,41.9
785,372,48,1,35.9,35.9
786,373,13,1,39.8,39.8
787,373,10,1,49.9,49.9
788,373,70,1,27.9,27.9
789,374,45,1,34.9,34.9
790,374,47,2,62.9,125.8
791,375,38,1,98.9,98.9
792,375,6,1,19.8,19.8
793,375,8,1,27.9,27.9
794,375,25,1,27.5,27.5
795,375,51,1,71.9,71.9
796,376,66,1,17.9,17.9
797,377,6,1,19.8,19.8
798,378,45,1,34.9,34.9
799,379,8,1,27.9,27.9
800,380,33,1,19.9,19.9
801,380,71,1,53.9,53.9
802,381,62,1,17.2,17.2
803,381,12,1,32.9,32.9
804,382,51,1,71.9,71.9
805,383,2,1,10.5,10.5
806,383,13,1,39.8,39.8
807,383,49,1,28.5,28.5
808,384,14,1,62.9,62.9
809,385,32,1,34.5,34.5
810,385,8,1,27.9,27.9
811,386,55,1,8.5,8.5
812,387,14,3,62.9,188.7
813,388,24,1,26.9,26.9
814,389,34,2,15.9,31.8
815,389,10,2,49.9,99.8
816,390,36,1,7.9,7.9
817,390,19,3,19.5,58.5
818,391,32,1,34.5,34.5
819,391,50,1,43.9,43.9
820,391,54,1,16.2,16.2
821,392,47,1,62.9,62.9
822,393,18,2,33.8,67.6
823,393,38,1,98.9,98.9
824,393,59,2,172.5,345.0
825,393,19,1,19.5,19.5
826,394,7,1,17.5,17.5
827,394,14,1,62.9,62.9
828,395,24,1,26.9,26.9
829,396,5,1,39.9,39.9
830,397,21,1,20.9,20.9
831,398,10,1,49.9,49.9
832,398,60,1,149.9,149.9
833,399,43,1,169.9,169.9
834,399,4,1,16.9,16.9
835,399,31,1,30.9,30.9
836,400,62,1,17.2,17.2
837,400,6,1,19.8,19.8
838,401,13,1,39.8,39.8
839,401,43,2,169.9,339.8
840,401,53,1,19.5,19.5
841,401,65,2,12.9,25.8
842,401,20,1,17.2,17.2
843,402,21,3,20.9,62.7
844,402,65,1,12.9,12.9
845,402,67,1,14.2,14.2
846,403,31,3,30.9,92.7
847,403,27,1,12.5,12.5
848,403,10,3,49.9,149.7
849,404,38,1,98.9,98.9
850,405,18,1,33.8,33.8
851,405,16,2,47.5,95.0
852,405,63,1,9.5,9.5
853,406,6,2,19.8,39.6
854,406,8,1,27.9,27.9
855,407,45,2,34.9,69.8
856,407,60,1,149.9,149.9
857,407,69,1,419.9,419.9
858,408,61,1,209.9,209.9
859,408,15,1,35.9,35.9
860,409,56,1,27.9,27.9
861,409,61,1,209.9,209.9
862,410,54,1,16.2,16.2
863,410,68,2,41.9,83.8
864,411,21,1,20.9,20.9
865,411,56,1,27.9,27.9
866,412,41,1,148.9,148.9
867,412,2,1,10.5,10.5
868,412,20,2,17.2,34.4
869,412,59,1,172.5,172.5
870,412,19,1,19.5,19.5
871,413,25,2,27.5,55.0
